Rank,Release Group,Worldwide,Domestic,%,Foreign,%
71,Get Him to the Greek,"$91,720,255","$60,974,475",66.5%,"$30,745,780",33.5%
72,Burlesque,"$89,519,773","$39,440,655",44.1%,"$50,079,118",55.9%
73,The Last Song,"$89,137,047","$62,950,384",70.6%,"$26,186,663",29.4%
74,Dinner for Schmucks,"$86,855,739","$73,026,337",84.1%,"$13,829,402",15.9%
75,Bayside Shakedown 3: Set the Guys Loose,"$85,347,374",-,-,"$85,347,374",100%
76,Marmaduke,"$83,761,844","$33,644,788",40.2%,"$50,117,056",59.8%
77,Piranha 3D,"$83,188,165","$25,003,155",30.1%,"$58,185,010",69.9%
78,Oceans,"$83,090,556","$19,422,319",23.4%,"$63,668,237",76.6%
79,Blades of Blood 2010 Re-release,"$82,177,196",-,-,"$82,177,196",100%
80,Edge of Darkness,"$81,126,522","$43,313,890",53.4%,"$37,812,632",46.6%
81,Vampires Suck,"$80,547,866","$36,661,504",45.5%,"$43,886,362",54.5%
82,Letters to Juliet,"$79,293,444","$53,032,453",66.9%,"$26,260,991",33.1%
83,The Back-up Plan,"$77,477,008","$37,490,007",48.4%,"$39,987,001",51.6%
84,Diary of a Wimpy Kid,"$76,196,538","$64,003,625",84%,"$12,192,913",16%
85,If You Are the One 2,"$76,085,443","$426,894",0.6%,"$75,658,549",99.4%
86,Easy A,"$75,026,216","$58,401,464",77.8%,"$16,624,752",22.2%
87,Hubble 3D,"$74,249,729","$52,522,904",70.7%,"$21,726,825",29.3%
88,Pokémon: Zoroark: Master of Illusions,"$71,143,529",-,-,"$71,143,529",100%
89,A Turtle's Tale: Sammy's Adventures,"$70,627,617",-,-,"$70,627,617",100%
90,The Last Exorcism,"$69,432,527","$41,034,350",59.1%,"$28,398,177",40.9%
91,Takers,"$69,055,695","$57,744,720",83.6%,"$11,310,975",16.4%
92,Bestseller,"$68,813,389",-,-,"$68,813,389",100%
93,Legion,"$67,918,658","$40,168,080",59.1%,"$27,750,578",40.9%
94,The American,"$67,876,281","$35,606,376",52.5%,"$32,269,905",47.5%
95,The Next Three Days,"$67,448,651","$21,148,651",31.4%,"$46,300,000",68.6%
96,Skyline,"$66,984,887","$21,393,620",31.9%,"$45,591,267",68.1%
97,Hot Tub Time Machine,"$64,735,752","$50,287,556",77.7%,"$14,448,196",22.3%
98,Elite Squad 2: The Enemy Within,"$63,618,850","$100,119",0.2%,"$63,518,731",99.8%
99,Devil,"$62,695,489","$33,601,190",53.6%,"$29,094,299",46.4%
100,127 Hours,"$60,738,797","$18,335,230",30.2%,"$42,403,567",69.8%
101,Why Did I Get Married Too?,"$60,673,972","$60,095,852",99%,"$578,120",1%
102,The Ghost Writer,"$60,331,447","$15,541,549",25.8%,"$44,789,898",74.2%
103,Secretariat,"$60,321,861","$59,713,955",99%,"$607,906",1%
104,Morning Glory,"$60,040,976","$31,011,732",51.7%,"$29,029,244",48.3%
105,Green Zone 2010 Re-release,"$59,828,889",-,-,"$59,828,889",100%
106,Remember Me,"$56,032,889","$19,068,240",34%,"$36,964,649",66%
107,Cop Out,"$55,611,001","$44,875,481",80.7%,"$10,735,520",19.3%
108,Veda - Atatürk,"$55,024,621",-,-,"$55,024,621",100%
109,The Crazies,"$54,806,823","$39,123,589",71.4%,"$15,683,234",28.6%
110,Little White Lies,"$53,319,615","$206,088",0.4%,"$53,113,527",99.6%
111,From Paris with Love,"$52,830,951","$24,077,427",45.6%,"$28,753,524",54.4%
112,Detective Dee: Mystery of the Phantom Flame,"$51,899,269","$459,836",0.9%,"$51,439,433",99.1%
113,Animals United,"$51,883,642",-,-,"$51,883,642",100%
114,Daybreakers,"$51,416,464","$30,101,577",58.5%,"$21,314,887",41.5%
115,Alpha and Omega,"$50,507,267","$25,107,267",49.7%,"$25,400,000",50.3%
116,The Switch,"$49,830,607","$27,779,426",55.7%,"$22,051,181",44.3%
117,Space Battleship Yamato,"$49,827,298",-,-,"$49,827,298",100%
118,She's Out of My League,"$49,779,728","$32,010,860",64.3%,"$17,768,868",35.7%
119,Death at a Funeral,"$49,050,886","$42,739,347",87.1%,"$6,311,539",12.9%
120,How Do You Know,"$48,668,907","$30,212,620",62.1%,"$18,456,287",37.9%
121,Charlie St. Cloud,"$48,190,704","$31,162,545",64.7%,"$17,028,159",35.3%
122,Heartbreaker,"$48,023,509","$504,030",1%,"$47,519,479",99%
123,Scott Pilgrim vs. the World,"$47,664,559","$31,524,275",66.1%,"$16,140,284",33.9%
124,StreetDance 2,"$46,960,833",-,-,"$46,960,833",100%
125,Welcome to the South,"$45,896,492",-,-,"$45,896,492",100%
126,Machete,"$45,491,656","$26,593,646",58.5%,"$18,898,010",41.5%
127,Confessions,"$45,203,103",-,-,"$45,203,103",100%
128,Avatar 2010 Special Edition,"$44,838,548","$10,741,486",24%,"$34,097,062",76%
129,The Man from Nowhere,"$44,723,232","$528,175",1.2%,"$44,195,057",98.8%
130,Of Gods and Men,"$43,803,417","$3,951,596",9%,"$39,851,821",91%
131,Boy,"$43,551,154","$256,211",0.6%,"$43,294,943",99.4%
132,When in Rome,"$43,053,376","$32,680,633",75.9%,"$10,372,743",24.1%
133,My Name Is Khan,"$42,345,360","$4,018,771",9.5%,"$38,326,589",90.5%
134,Going the Distance,"$42,059,111","$17,804,299",42.3%,"$24,254,812",57.7%
135,Nodame Cantabile: The Movie II 2010 Re-release,"$41,054,604",-,-,"$41,054,604",100%
136,SP: The Motion Picture I,"$39,674,739",-,-,"$39,674,739",100%
137,Kokkuri-san: Gekijô-ban,"$37,982,240",-,-,"$37,982,240",100%
138,For Colored Girls,"$37,981,984","$37,729,698",99.3%,"$252,286",0.7%
139,Detective Conan: The Lost Ship in the Sky,"$36,407,407",-,-,"$36,407,407",100%
140,The Secret Reunion,"$36,298,578",-,-,"$36,298,578",100%
141,Furry Vengeance,"$36,288,132","$17,630,465",48.6%,"$18,657,667",51.4%
142,You Will Meet a Tall Dark Stranger,"$35,867,322","$3,248,246",9.1%,"$32,619,076",90.9%
143,Faster,"$35,626,958","$23,240,020",65.2%,"$12,386,938",34.8%
144,The Kids Are All Right,"$34,705,850","$20,811,365",60%,"$13,894,485",40%
145,Doraemon The Movie: Nobita's Great Battle of the Mermaid King,"$34,702,573",-,-,"$34,702,573",100%
146,The Extraordinary Adventures of Adèle Blanc-Sec,"$34,604,339",-,-,"$34,604,339",100%
147,Camping 2,"$33,857,735",-,-,"$33,857,735",100%
148,Arthur 3: The War of the Two Worlds,"$33,519,334",-,-,"$33,519,334",100%
149,Dogwood Tree,"$33,016,351",-,-,"$33,016,351",100%
150,Leap Year,"$32,686,500","$25,918,920",79.3%,"$6,767,580",20.7%
151,Potiche,"$32,309,881","$1,618,844",5%,"$30,691,037",95%
152,You Again,"$32,054,369","$25,702,053",80.2%,"$6,352,316",19.8%
153,Rajneeti,"$29,459,596","$1,514,558",5.1%,"$27,945,038",94.9%
154,The Losers,"$29,397,654","$23,591,432",80.2%,"$5,806,222",19.8%
155,The Santa Claus Gang,"$29,181,330",-,-,"$29,181,330",100%
156,Sacrifice,"$29,093,560","$29,792",0.1%,"$29,063,768",99.9%
157,The Lady Shogun and Her Men,"$27,769,952",-,-,"$27,769,952",100%
158,Jing wu feng yun: Chen Zhen,"$27,390,678","$50,433",0.2%,"$27,340,245",99.8%
159,Ramona and Beezus,"$27,293,743","$26,167,002",95.9%,"$1,126,741",4.1%
160,Splice 2010 Re-release,"$27,127,620","$17,010,170",62.7%,"$10,117,450",37.3%
161,Let Me In,"$27,093,592","$12,134,935",44.8%,"$14,958,657",55.2%
162,Fair Game,"$25,798,915","$9,540,691",37%,"$16,258,224",63%
163,The Roundup,"$25,623,521",-,-,"$25,623,521",100%
164,Natale in Sudafrica,"$25,362,517",-,-,"$25,362,517",100%
165,Biutiful,"$25,147,786","$5,101,237",20.3%,"$20,046,549",79.7%
166,Six Degrees of Celebration,"$25,030,264",-,-,"$25,030,264",100%
167,Elle s'appelait Sarah,"$24,792,815","$7,693,187",31%,"$17,099,628",69%
168,Lottery Ticket,"$24,719,879","$24,719,879",100%,-,-
169,Liar Game: The Final Stage,"$24,658,706",-,-,"$24,658,706",100%
170,The Way Back,"$24,172,201","$2,701,859",11.2%,"$21,470,342",88.8%
171,Nasha Russia. Yaytsa sudby,"$24,022,125",-,-,"$24,022,125",100%
172,Da Xiao Jiang Hu,"$23,705,022",-,-,"$23,705,022",100%
173,Five Minarets in New York,"$23,423,390",-,-,"$23,423,390",100%
174,Under the Hawthorn Tree,"$23,004,431",-,-,"$23,004,431",100%
175,Recep Ivedik 3,"$22,588,876",-,-,"$22,588,876",100%
176,Villain,"$22,414,467",-,-,"$22,414,467",100%
177,A Thousand Words,"$22,044,277","$18,450,127",83.7%,"$3,594,150",16.3%
178,"Me, Them and Lara","$22,039,646",-,-,"$22,039,646",100%
179,Moss,"$21,925,534",-,-,"$21,925,534",100%
180,22 Bullets,"$21,695,883",-,-,"$21,695,883",100%
181,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon,"$21,645,379",-,-,"$21,645,379",100%
182,Just Wright,"$21,584,424","$21,540,363",99.8%,"$44,061",0.2%
183,My Soul to Take,"$21,500,813","$14,744,435",68.6%,"$6,756,378",31.4%
184,Our Family Wedding,"$21,409,028","$20,255,281",94.6%,"$1,153,747",5.4%
185,Nosso Lar,"$21,218,935",-,-,"$21,218,935",100%
186,71: Into the Fire,"$20,967,660","$176,638",0.8%,"$20,791,022",99.2%
187,The Spy Next Door 2010 Re-release,"$20,929,457",-,-,"$20,929,457",100%
188,Country Strong,"$20,529,194","$20,218,921",98.5%,"$310,273",1.5%
189,Beck,"$20,219,060",-,-,"$20,219,060",100%
190,How Not to Rescue a Princess,"$20,157,447",-,-,"$20,157,447",100%
191,About Her Brother,"$19,969,473",-,-,"$19,969,473",100%
192,Trick the Movie: Psychic Battle Royale,"$19,795,115",-,-,"$19,795,115",100%
193,Hello Ghost,"$19,774,455",-,-,"$19,774,455",100%
194,Another Year,"$19,722,766","$3,205,706",16.3%,"$16,517,060",83.7%
195,Youth in Revolt,"$19,651,093","$15,281,286",77.8%,"$4,369,807",22.2%
196,Hot Summer Days,"$19,573,451",-,-,"$19,573,451",100%
197,Buried,"$19,439,764","$1,044,143",5.4%,"$18,395,621",94.6%
198,The Servant,"$19,259,164",-,-,"$19,259,164",100%
199,Norwegian Wood,"$19,115,721","$13,000",<0.1%,"$19,102,721",99.9%
200,Head Over Heels,"$18,876,082",-,-,"$18,876,082",100%
201,13 Assassins,"$18,689,058","$802,778",4.3%,"$17,886,280",95.7%
202,Men Vs Women,"$18,493,043",-,-,"$18,493,043",100%
203,Repo Men,"$18,409,891","$13,794,835",74.9%,"$4,615,056",25.1%
204,Commerce (pas très) équitable,"$18,342,838",-,-,"$18,342,838",100%
205,New Kids Turbo,"$18,261,046",-,-,"$18,261,046",100%
206,From Me to You,"$18,027,475",-,-,"$18,027,475",100%
207,Cyrano Agency,"$17,917,697",-,-,"$17,917,697",100%
208,Chico Xavier,"$17,229,064",-,-,"$17,229,064",100%
209,My Afternoons with Margueritte,"$17,107,143","$666,557",3.9%,"$16,440,586",96.1%
210,Los ojos de Julia,"$16,934,369",-,-,"$16,934,369",100%
211,The Nutcracker: The Untold Story,"$16,918,946","$195,459",1.2%,"$16,723,487",98.8%
212,The Last Godfather,"$16,863,629","$164,247",1%,"$16,699,382",99%
213,Tensou Sentai Goseiger: Epic on the Movie,"$16,704,506",-,-,"$16,704,506",100%
214,Abacus and Sword,"$16,575,961",-,-,"$16,575,961",100%
215,"Tomorrow, When the War Began","$16,533,595","$4,936",<0.1%,"$16,528,659",100%
216,Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO,"$16,458,957",-,-,"$16,458,957",100%
217,Eyyvah Eyvah,"$16,401,863",-,-,"$16,401,863",100%
218,Gravity,"$16,222,260",-,-,"$16,222,260",100%
219,Sea Rex 3D: Journey to a Prehistoric World,"$16,004,150","$6,096,582",38.1%,"$9,907,568",61.9%
220,The Yellow Sea,"$15,789,762",-,-,"$15,789,762",100%
221,I Hate Luv Storys,"$15,719,212","$847,993",5.4%,"$14,871,219",94.6%
222,Loose Cannons,"$15,340,429",-,-,"$15,340,429",100%
223,Kandagar,"$15,274,292",-,-,"$15,274,292",100%
224,The Incite Mill,"$15,219,610",-,-,"$15,219,610",100%
225,Friendship! 2010 Re-release,"$15,141,000",-,-,"$15,141,000",100%
226,Extraordinary Measures,"$15,134,293","$12,068,313",79.7%,"$3,065,980",20.3%
227,Ip Man 2,"$15,061,802","$205,675",1.4%,"$14,856,127",98.6%
228,The Housemaid,"$15,038,301","$157,961",1.1%,"$14,880,340",98.9%
229,Blue Valentine,"$14,892,418","$9,706,328",65.2%,"$5,186,090",34.8%
230,Le mac,"$14,849,183",-,-,"$14,849,183",100%
231,Somewhere,"$14,788,642","$1,785,645",12.1%,"$13,002,997",87.9%
232,Beauty and the Beast 2010 3D Release,"$14,410,056",-,-,"$14,410,056",100%
233,Petty Romance,"$14,244,325",-,-,"$14,244,325",100%
234,Three Steps Above Heaven,"$14,066,238",-,-,"$14,066,238",100%
235,Buried Secrets 2010 Re-release,"$14,029,525",-,-,"$14,029,525",100%
236,City Under Siege,"$13,851,432",-,-,"$13,851,432",100%
237,Winter's Bone,"$13,796,834","$6,531,503",47.3%,"$7,265,331",52.7%
238,Tees Maar Khan,"$13,681,934","$1,076,443",7.9%,"$12,605,491",92.1%
239,Chloe,"$13,657,649","$3,075,255",22.5%,"$10,582,394",77.5%
240,Haunters,"$13,443,879",-,-,"$13,443,879",100%
241,Reign of Assassins,"$13,321,793",-,-,"$13,321,793",100%
242,Klown,"$13,204,964",-,-,"$13,204,964",100%
243,Kiss Me Again,"$13,099,140",-,-,"$13,099,140",100%
244,In a Better World,"$13,004,504","$1,008,098",7.8%,"$11,996,406",92.2%
245,I Saw the Devil,"$12,966,357","$129,210",1%,"$12,837,147",99%
246,Lyubov v bolshom gorode 2,"$12,923,001",-,-,"$12,923,001",100%
247,Kureyon Shinchan: Chojiku! Arashi wo Yobu Ora no Hanayome,"$12,876,220",-,-,"$12,876,220",100%
248,What Men Talk About,"$12,824,118",-,-,"$12,824,118",100%
249,Made in Dagenham,"$12,629,471","$1,095,369",8.7%,"$11,534,102",91.3%
250,Hunting Season,"$12,571,431",-,-,"$12,571,431",100%
251,Troubleshooter,"$12,460,480",-,-,"$12,460,480",100%
252,Gainsbourg: A Heroic Life,"$12,220,456","$233,007",1.9%,"$11,987,449",98.1%
253,Tamara Drewe,"$12,037,973","$560,391",4.7%,"$11,477,582",95.3%
254,I Am Love,"$12,014,663","$5,005,465",41.7%,"$7,009,198",58.3%
255,Kites,"$11,844,500","$1,643,486",13.9%,"$10,201,014",86.1%
256,Eiga Purikyua ôru sutâzu DX 2: Kibou no hikari Reinbô jueru o mamore!,"$11,653,289",-,-,"$11,653,289",100%
257,Winx Club 3D: Magical Adventure,"$11,583,758",-,-,"$11,583,758",100%
258,Buried Secrets,"$11,500,000",-,-,"$11,500,000",100%
259,Golden Slumber,"$11,458,607",-,-,"$11,458,607",100%
260,Genitori & figli:) - Agitare bene prima dell'uso,"$11,455,266",-,-,"$11,455,266",100%
261,All That Glitters,"$11,345,366",-,-,"$11,345,366",100%
262,"It's Not You, It's Me","$11,301,956","$1,339,911",11.9%,"$9,962,045",88.1%
263,Sorry If I Want to Marry You,"$11,285,031",-,-,"$11,285,031",100%
264,Straw Dogs,"$11,168,712","$10,324,441",92.4%,"$844,271",7.6%
265,Takers 2010 Re-release,"$11,149,687",-,-,"$11,149,687",100%
266,Conviction 2010 Re-release,"$11,104,555","$6,783,129",61.1%,"$4,321,426",38.9%
267,The Warrior's Way,"$11,103,434","$5,666,340",51%,"$5,437,094",49%
268,Last Night,"$11,027,222","$99,000",0.9%,"$10,928,222",99.1%
269,Jonah Hex,"$10,903,312","$10,547,117",96.7%,"$356,195",3.3%
270,A Natale mi sposo,"$10,902,369",-,-,"$10,902,369",100%
271,The Italian,"$10,899,518",-,-,"$10,899,518",100%
272,Tinker Bell and the Great Fairy Rescue,"$10,872,752",-,-,"$10,872,752",100%
273,Sayonara itsuka,"$10,817,922",-,-,"$10,817,922",100%
274,A Matchless Man,"$10,751,422",-,-,"$10,751,422",100%
275,HeartCatch PreCure the Movie: Fashion Show in the Flower Capital... Really?!,"$10,695,038",-,-,"$10,695,038",100%
276,Get Low,"$10,522,511","$9,176,933",87.2%,"$1,345,578",12.8%
277,The Hole,"$10,457,002",-,-,"$10,457,002",100%
278,Gintama: The Movie,"$10,453,259",-,-,"$10,453,259",100%
279,Stone,"$10,300,416","$1,810,078",17.6%,"$8,490,338",82.4%
280,Babies,"$10,219,306","$7,320,323",71.6%,"$2,898,983",28.4%
281,Senna,"$10,197,661","$1,612,430",15.8%,"$8,585,231",84.2%
282,Women in Temptation,"$10,140,804",-,-,"$10,140,804",100%
283,StreetDance 3D,"$9,941,976",-,-,"$9,941,976",100%
284,Cyrus,"$9,933,873","$7,468,936",75.2%,"$2,464,937",24.8%
285,Never Let Me Go,"$9,904,795","$2,434,652",24.6%,"$7,470,143",75.4%
286,The Big Picture,"$9,855,357",-,-,"$9,855,357",100%
287,Ghost,"$9,833,553",-,-,"$9,833,553",100%
288,The Stool Pigeon,"$9,783,637",-,-,"$9,783,637",100%
289,Wind Blast,"$9,566,904",-,-,"$9,566,904",100%
290,Point Blank,"$9,487,445","$708,215",7.5%,"$8,779,230",92.5%
291,House of Angels,"$9,481,984",-,-,"$9,481,984",100%
292,Peepli [Live],"$9,460,931","$757,951",8%,"$8,702,980",92%
293,Mobile Suit Gundam 00: A Wakening of the Trailblazer,"$9,381,149",-,-,"$9,381,149",100%
294,MacGruber,"$9,322,895","$8,525,600",91.4%,"$797,295",8.6%
295,Brooklyn's Finest 2010 Re-release,"$9,276,608",-,-,"$9,276,608",100%
296,Fatal,"$9,267,224",-,-,"$9,267,224",100%
297,To Hell with the Ugly,"$9,246,548",-,-,"$9,246,548",100%
298,Love-Carrot 3,"$9,200,378",-,-,"$9,200,378",100%
299,The First Beautiful Thing,"$9,115,665",-,-,"$9,115,665",100%
300,The Last Ronin,"$9,065,176",-,-,"$9,065,176",100%
301,Anjaana Anjaani,"$9,062,995","$854,757",9.4%,"$8,208,238",90.6%
302,The Perfect Date,"$8,927,094",-,-,"$8,927,094",100%
303,Love in Disguise,"$8,665,577",-,-,"$8,665,577",100%
304,Dark World,"$8,628,997",-,-,"$8,628,997",100%
305,Dark World 2010 Re-release,"$8,628,997",-,-,"$8,628,997",100%
306,A View of Love,"$8,540,794",-,-,"$8,540,794",100%
307,Space Dogs,"$8,530,226","$14,408",0.2%,"$8,515,818",99.8%
308,The Outrage,"$8,457,741","$44,745",0.5%,"$8,412,996",99.5%
309,Naruto Shippûden: The Lost Tower 2010 Re-release,"$8,453,188",-,-,"$8,453,188",100%
310,The Way 2010 Re-release,"$8,437,872","$4,430,765",52.5%,"$4,007,107",47.5%
311,Snabba Cash,"$8,369,756","$205,741",2.5%,"$8,164,015",97.5%
312,Khatta Meetha,"$8,319,469","$541,904",6.5%,"$7,777,565",93.5%
313,London Boulevard,"$8,307,227","$16,075",0.2%,"$8,291,152",99.8%
314,Burnt by the Sun 2,"$8,266,778",-,-,"$8,266,778",100%
315,Amongst Heroes,"$8,224,084",-,-,"$8,224,084",100%
316,Otto's Eleven,"$8,184,947",-,-,"$8,184,947",100%
317,Midnight FM,"$8,171,078",-,-,"$8,171,078",100%
318,Inside Job,"$7,871,522","$4,312,735",54.8%,"$3,558,787",45.2%
319,Vincent Wants to Sea,"$7,851,439",-,-,"$7,851,439",100%
320,Twilight Gangsters,"$7,765,343",-,-,"$7,765,343",100%
321,Muita Calma Nessa Hora,"$7,744,506",-,-,"$7,744,506",100%
322,Certified Copy,"$7,736,632","$1,373,975",17.8%,"$6,362,657",82.2%
323,The Disappearance of Haruhi Suzumiya,"$7,701,498",-,-,"$7,701,498",100%
324,Guzaarish,"$7,564,310","$1,017,335",13.4%,"$6,546,975",86.6%
325,Open Season 3,"$7,487,555",-,-,"$7,487,555",100%
326,Finding Mr. Destiny,"$7,444,073",-,-,"$7,444,073",100%
327,Sakurada Gate Incident,"$7,394,930",-,-,"$7,394,930",100%
328,No Mercy,"$7,282,606",-,-,"$7,282,606",100%
329,Animal Kingdom,"$7,208,231","$1,044,039",14.5%,"$6,164,192",85.5%
330,Mammuth,"$7,137,183",-,-,"$7,137,183",100%
331,Hanni & Nanni,"$7,119,791",-,-,"$7,119,791",100%
332,The Joneses,"$7,031,729","$1,475,746",21%,"$5,555,983",79%
333,My Darling Is a Foreigner,"$7,020,126",-,-,"$7,020,126",100%
334,The Last Station 2010 Re-release,"$7,003,548",-,-,"$7,003,548",100%
335,The Princess of Montpensier,"$6,965,201","$352,428",5.1%,"$6,612,773",94.9%
336,Çok Filim Hareketler Bunlar,"$6,928,959",-,-,"$6,928,959",100%
337,Centurion,"$6,890,432","$123,570",1.8%,"$6,766,862",98.2%
338,Bacon on the Side,"$6,846,472",-,-,"$6,846,472",100%
339,72 Tenants of Prosperity,"$6,833,354",-,-,"$6,833,354",100%
340,Bran Nue Dae,"$6,812,530","$113,568",1.7%,"$6,698,962",98.3%
341,The Names of Love,"$6,803,887","$514,237",7.6%,"$6,289,650",92.4%
342,El infierno,"$6,703,873",-,-,"$6,703,873",100%
343,Man of Vendetta,"$6,588,417",-,-,"$6,588,417",100%
344,"New York, I Love You 2010 Re-release","$6,507,581",-,-,"$6,507,581",100%
345,It's Kind of a Funny Story,"$6,491,240","$6,363,628",98%,"$127,612",2%
