Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,341,525","$372,755",<0.1%,"$460,968,770",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
4,Demon Slayer the Movie: Mugen Train,"$377,954,723",-,-,"$377,954,723",100%
5,Tenet,"$363,129,000","$57,929,000",16%,"$305,200,000",84%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,509,681","$77,047,065",31.4%,"$168,462,616",68.6%
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
11,Shock Wave 2,"$198,903,006",-,-,"$198,903,006",100%
12,Wonder Woman 1984,"$166,257,000","$46,257,000",27.8%,"$120,000,000",72.2%
13,The Croods: A New Age,"$162,844,638","$56,716,638",34.8%,"$106,128,000",65.2%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
16,Onward,"$141,950,121","$61,555,145",43.4%,"$80,394,976",56.6%
17,Soul,"$135,581,765",-,-,"$135,581,765",100%
18,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
19,The Call of the Wild,"$110,992,779","$62,342,368",56.2%,"$48,650,411",43.8%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
23,The Rescue,"$63,426,575","$18,797",<0.1%,"$63,407,778",100%
24,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
25,Greenland,"$52,300,000",-,-,"$52,300,000",100%
26,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
27,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
28,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
29,The New Mutants,"$48,161,538","$23,852,659",49.5%,"$24,308,879",50.5%
30,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
31,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
32,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
33,Trolls World Tour,"$44,893,259",-,-,"$44,893,259",100%
34,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
